SKU*,Description
VZ-SCPD-12,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7041.jpg"" style=""width: 970px; height: 599px;"" /></p>  <ul class=""a-unordered-list a-vertical a-spacing-none""> 	<li><strong>ANTI-SKID KRATON</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety...Fits For: mountain bike, road bike, BMX bike, Fixie bike.MTB bike, Cycling bicycle.</li> 	<li><strong>LARGE PLATFORM</strong> - This platform pedal supports the foot more evenly when riding, provides a more comfortable riding experience for you.</li> 	<li><strong>DURABLE &amp; LIGHTWEIGHT</strong> - This platform pedals weights only 508g pair,90mm x 90mm large platform pedals, Die-Cast aluminum bodies with kraton inlaid Superior grip low profile platform, Great for fit for mountain bike road bike BMX exercise bike fixie bike folding bike with 9/16"" Axle.</li> 	<li><strong>BEARING &amp; AXLE - AXLE </strong>: CNC-machined Cr-Mo 9/16"" Axle; Smooth-riding , Bearing: LSL bushing &amp; sealed.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2 year warranty ! Made in Taiwan. Package: 1 Pair of 2 pedals.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/i2rNSnmCO4s"" width=""560""></iframe></p> "
VZ-SCPD-14,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7891.jpg"" style=""width: 972px; height: 600px;"" /></p>  <ul> 	<li><strong>HEAVY DUTY PLATFORM</strong>: Thickness 15mm. Platform size 98 x 98mm, weight only 416g per pair. Great for Downhill, all mountain , BMX, cycecross, trial &amp; cross country.</li> 	<li><strong>LOW PROFILE:</strong> CNC 6061 aluminum bodies superior grip low profile platform. Features a minimal profile of only 15mm thin. Maximizes the ground clearance.</li> 	<li><strong>OVERSIZED BEARING &amp; AXLE</strong> - Extra heavy duty with oversized bearings. Oversized Axle : CNC-machined Cr-Mo 9/16"". Oversized bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>ANTI-SKID NAIL</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty ! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/wU81Rhqu8vU"" width=""560""></iframe></p> "
VZ-SCPD-15,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7266.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>EXTRA LARGE PLATFORM</strong>: Thickness 11mm. Platform size 100 x 100mm, weight only 370g per pair. Great for all mountain , BMX, cycecross, trial &amp; cross country. Recommended for shoe size: USA men: 10-15, EU: 43-50.</li> 	<li><strong>LOW PROFILE</strong>: CNC 6061 aluminum bodies superior grip low profile platform. Features a minimal profile of only 11mm thin. Maximizes the ground clearance.</li> 	<li><strong>BEARING &amp; AXLE - AXLE</strong> : CNC-machined Cr-Mo 9/16"". Axle bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>ANTI-SKID NAIL</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty ! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/ke4jiQJBMrA"" width=""560""></iframe></p> "
VZ-SCPD-16,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7455.jpg"" style=""width: 973px; height: 600px;"" /></p>  <ul> 	<li><strong>BEARING &amp; AXLE - </strong>Axle: CNC-machined Cr-Mo 9/16"". Axle bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>DURABLE &amp; LIGHTWEIGHT</strong> - This platform pedals weight only 340g pair, 102mm x 102mm large platform pedals, CNC 6061 aluminum bodies superior grip low profile platform.</li> 	<li><strong>ANTI-SKID NAIL</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety. Great for mountain bike road bike ,BMX ,exercise, fixie, and folding bikes with 9/16"" Axle.</li> 	<li><strong>LARGE PLATFORM</strong> - This platform pedal supports the foot more evenly when riding, provides a more comfortable riding experience for you.</li> 	<li><strong>Package: </strong>1 Pair of 2 pedals, 4 x Reflectors</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/38lrPa5whdg"" width=""560""></iframe></p> "
VZ-SCPD-18,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7229.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>BEARING &amp; AXLE</strong> - AXLE : CNC-machined Cr-Mo 9/16"". Axle bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>DURABLE &amp; LIGHTWEIGHT </strong>- This platform pedals weight only 396g pair, 102mm x 94mm large platform pedals, CNC 6061 aluminum bodies superior grip low profile platform.</li> 	<li><strong>ANTI-SKID NAIL </strong>- To increase the friction,to prevent foot slippage,to ensure that the rider safety. Great for mountain bike road bike ,BMX ,exercise, fixie, and folding bikes with 9/16"" Axle.</li> 	<li><strong>LARGE PLATFORM</strong> - This platform pedal supports the foot more evenly when riding, provides a more comfortable riding experience for you.</li> 	<li><strong>Package: 1 Pair of 2 pedals</strong></li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/VgEYcfb2d-E"" width=""560""></iframe></p> "
VZ-SCPD-20,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7164.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>BODY</strong>: Dia-cast 6061 aluminum with grip sand paper. Size: 90x 78 mm = 3.5 x 3 inch. Weight: 329g = 0.7lbs/pair. Compatible with 9/16"" thread size crankset only.</li> 	<li><strong>BEARING &amp; AXLE </strong>- AXLE : CNC-machined Cr-Mo 9/16"" Axle; Smooth-riding , Bearing: LSL bushing &amp; sealed. Great for MTB, e-bike, city, trekking and urban bikes.</li> 	<li><strong>SAND PAPER</strong>: Increase the friction,to prevent foot slippage,to ensure that the rider safety when wet.</li> 	<li><strong>REFLECTORS</strong>: Yellow reflectors are included and built nicely in the pedals. They ensure much safer riding during night.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2 year warranty ! Made in Taiwan. Package: 1 Pair of 2 pedals.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/e2xG0p80f00"" width=""560""></iframe></p> "
VZ-SCPD-21,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(30).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>BODY</strong>: Engineering thermoplastics with sand paper zone. Axle: 9/16"" CNC machined Cr-Mo.</li> 	<li><strong>SMOOTH BEARINGS</strong>: LSL bushing &amp; sealed. Very smooth and reliable. Axle: 9/16"" CNC machined Cr-Mo.</li> 	<li><strong>SIZE</strong>: 100x 85 mm = 3.9 x 3.3 inch. Weight: 376g = 0.8lbs/pair.</li> 	<li><strong>PACKAGE</strong>: one pair of 2 pedals.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Z20gbiSDcKs"" width=""560""></iframe></p> "
VZ-SCPD-23,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(31).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>SUPER LIGHT</strong>: The total of weight of 2 pedals only 217g or 7.7 oz. Great for road, city, urban, touring, trekking bikes.</li> 	<li><strong>BODY</strong>: Fully CNC machined 6061 aluminum, beautiful finish. Smooth like silk. Looks great when installed on the bikes.</li> 	<li><strong>BEARING &amp; AXLE </strong>- AXLE : CNC-machined Cr-Mo 9/16"". Axle bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>SAFE TO USE</strong>: The pedals come with orange reflectors which ensure safer night riding. Pedal bodies are also anti-slippery, great for wet days. Pedal size: 75x 60 mm = 2.95 x 2.36 inch.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty ! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/v5o8P6NZaAc"" width=""560""></iframe></p> "
VZ-SCPD-24,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(26).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>GREAT FOR SPIN BIKES</strong>: The pedals are specially designed for spin bikes. Strong material: Die cast aluminum body, Extra heavy duty oversized CNC Cr-Mo 9/16"" Axle; Smooth riding: sealed bearings. Friendly reminder : Please do NOT use other pedals such as road or MTB pedals on spin bikes.</li> 	<li><strong>DUAL FUNCTION</strong>: Riding with clipless shoes: More efficient energy transfer to pedals or riding with casual shoes.</li> 	<li><strong>LARGE PLATFORM</strong>: The aluminum body is 95 x 65 mm = 3.7 x 2.5 inch relatively large. It ensures more riding stability.</li> 	<li><strong>FULLY COMPATIBLE</strong>: Compatible with all Shimano SPD MTB pedals system. Means you can use Shimano SPD cleats on these pedals or use these cleats on Shimano SPD pedals.</li> 	<li><strong>ADJUSTABLE TENSION:</strong> The cleats tension could be adjusted by the screw on the side of the pedal. It allows riders to achieve perfect clip in and out feelings. Package: One set of pedals with toe-clips and cleats. Weight: 634g=1.39lbs/pair.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty ! Made in Taiwan</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/03Rb9uNrF6A"" width=""560""></iframe></p> "
VZ-SCSP-01,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(27).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>RELIABLE</strong>: Precisely machined cartridge with fully sealed air and oil. Very reliable. Fit Seat Tube Diameter: Options: 30.9mm 31.6mm. Length: 485mm. Travel: 150mm.</li> 	<li><strong>LIGHT</strong>: Weight : 670g=1.47lbs ONLY. Lighter compared with other standard dropper seatposts. Max. insert: 175mm. Min. insert: 100mm. Remote adjustment control.</li> 	<li><strong>INTERNAL CABLE ROUTING</strong>: Universal Remote Lever. Package includes Seatpost, Remote Lever, Cable, Cable Hose.</li> 	<li><strong>SERVICE FREE</strong>: As the cartridge is fully sealed. Service is not needed on this dropper.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 3-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/F5bGJNgH04c?rel=0"" width=""560""></iframe></p> "
VZ-SCSP-01-309N,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(27).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>RELIABLE</strong>: Precisely machined cartridge with fully sealed air and oil. Very reliable. Fit Seat Tube Diameter: Options: 30.9mm. Length: 485mm. Travel: 150mm.</li> 	<li><strong>LIGHT</strong>: Weight : 670g=1.47lbs ONLY. Lighter compared with other standard dropper seatposts. Max. insert: 175mm. Min. insert: 100mm. Remote adjustment control.</li> 	<li><strong>INTERNAL CABLE ROUTING</strong>: Universal Remote Lever. Package includes Seatpost, Remote Lever, Cable, Cable Hose.</li> 	<li><strong>SERVICE FREE</strong>: As the cartridge is fully sealed. Service is not needed on this dropper.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 3-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/F5bGJNgH04c?rel=0"" width=""560""></iframe></p> "
VZ-SCSP-01-316N,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(27).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>RELIABLE</strong>: Precisely machined cartridge with fully sealed air and oil. Very reliable. Fit Seat Tube Diameter: Options: 30.9mm 31.6mm. Length: 485mm. Travel: 150mm.</li> 	<li><strong>LIGHT</strong>: Weight : 670g=1.47lbs ONLY. Lighter compared with other standard dropper seatposts. Max. insert: 175mm. Min. insert: 100mm. Remote adjustment control.</li> 	<li><strong>INTERNAL CABLE ROUTING</strong>: Universal Remote Lever. Package includes Seatpost, Remote Lever, Cable, Cable Hose.</li> 	<li><strong>SERVICE FREE</strong>: As the cartridge is fully sealed. Service is not needed on this dropper.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 3-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/F5bGJNgH04c?rel=0"" width=""560""></iframe></p> "
VZ-SCSP-02,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(27).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>RELIABLE</strong>: Precisely machined cartridge with fully sealed air and oil. Very reliable. Fit Seat Tube Diameter: Options: 30.9mm 31.6mm. Length: 396mm. Travel: 125mm.</li> 	<li><strong>LIGHT</strong>: Weight : 577g=1.27lbs ONLY. Lighter compared with other standard dropper seatposts. Max. insert: 175mm. Min. insert: 100mm. Remote adjustment control.</li> 	<li><strong>INTERNAL CABLE ROUTING</strong>: Universal Remote Lever. Package includes Seatpost, Remote Lever, Cable, Cable Hose.</li> 	<li><strong>SERVICE FREE</strong>: As the cartridge is fully sealed. Service is not needed on this dropper.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 3-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/_D0jma2cHq8?rel=0"" width=""560""></iframe></p> "
VZ-SCSP-02-309N,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(27).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>RELIABLE</strong>: Precisely machined cartridge with fully sealed air and oil. Very reliable. Fit Seat Tube Diameter: Options: 30.9mm 31.6mm. Length: 396mm. Travel: 125mm.</li> 	<li><strong>LIGHT</strong>: Weight : 577g=1.27lbs ONLY. Lighter compared with other standard dropper seatposts. Max. insert: 175mm. Min. insert: 100mm. Remote adjustment control.</li> 	<li><strong>INTERNAL CABLE ROUTING</strong>: Universal Remote Lever. Package includes Seatpost, Remote Lever, Cable, Cable Hose.</li> 	<li><strong>SERVICE FREE</strong>: As the cartridge is fully sealed. Service is not needed on this dropper.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 3-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/_D0jma2cHq8?rel=0"" width=""560""></iframe></p> "
VZ-SCSP-02-316N,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(27).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>RELIABLE</strong>: Precisely machined cartridge with fully sealed air and oil. Very reliable. Fit Seat Tube Diameter: Options: 30.9mm 31.6mm. Length: 396mm. Travel: 125mm.</li> 	<li><strong>LIGHT</strong>: Weight : 577g=1.27lbs ONLY. Lighter compared with other standard dropper seatposts. Max. insert: 175mm. Min. insert: 100mm. Remote adjustment control.</li> 	<li><strong>INTERNAL CABLE ROUTING</strong>: Universal Remote Lever. Package includes Seatpost, Remote Lever, Cable, Cable Hose.</li> 	<li><strong>SERVICE FREE</strong>: As the cartridge is fully sealed. Service is not needed on this dropper.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 3-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/_D0jma2cHq8?rel=0"" width=""560""></iframe></p> "
WH-MTB-N6,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(19).jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>LIGHT &amp; STRONG</strong>: 26' wheelset rim material: Alloy 6061-T6. Rim wall: Double wall. Valve hole: 8mm A/V.Internal width: 18 mm. Much lighter than low end steel rim and strong enough for daily riding.</li> 	<li><strong>COMPATIBILITY</strong>: Compatible with 6 Speed, caliper brake &amp; clincher 26' tires only.&nbsp; Brake interface: Caliper brake.CNC braking surface ( rim brakes ). Fit tire type: Clincher. ED Black steel spokes.Brass CP nipples.</li> 	<li><strong>QUALITY HUBS</strong>: JOYTECH Hubs.Holes: 36.Bodies material: aluminum.Axle material: steel.Front axle size: 9x100mm QR.Rear axle size: 10x135mm QR.</li> 	<li><strong>QUALITY FREEWHEEL</strong>: Compatible with SHIMANO MF-TZ500-6 Freewheel.Speed: 6 Speeds.Use: Tourney bike.Gearings: 14-16-18-21-24-28. Chain Compatibility: 3/32'.</li> 	<li><strong>PACKAGE</strong>: Front and rear wheel, hubs, QR, rim tape, freewheel.Weight: 2331 gram = 5.13 lbs.Warranty: 2 Year. Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""350"" src=""https://www.youtube.com/embed/5SEsuI9Jk8k"" width=""550""></iframe></p> "
WH-MTB-N6A,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(19).jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>LIGHT &amp; STRONG</strong>: 26' wheelset rim material: Alloy 6061-T6. Rim wall: Double wall. Valve hole: 8mm A/V.Internal width: 18 mm. Much lighter than low end steel rim and strong enough for daily riding.</li> 	<li><strong>COMPATIBILITY</strong>: Compatible with 6 Speed, caliper brake &amp; clincher 26' tires only.&nbsp; Brake interface: Caliper brake.CNC braking surface ( rim brakes ). Fit tire type: Clincher. ED Black steel spokes.Brass CP nipples.</li> 	<li><strong>QUALITY HUBS</strong>: JOYTECH Hubs.Holes: 36.Bodies material: aluminum.Axle material: steel.Front axle size: 9x100mm QR.Rear axle size: 10x135mm QR.</li> 	<li><strong>QUALITY FREEWHEEL</strong>: Compatible with SHIMANO MF-TZ500-6 Freewheel.Speed: 6 Speeds.Use: Tourney bike.Gearings: 14-16-18-21-24-28. Chain Compatibility: 3/32'.</li> 	<li><strong>PACKAGE</strong>: Front and rear wheel, hubs, QR, rim tape, freewheel.Weight: 2331 gram = 5.13 lbs.Warranty: 2 Year. Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""350"" src=""https://www.youtube.com/embed/5SEsuI9Jk8k"" width=""550""></iframe></p> "
WH-MTB-N7,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(19).jpg"" style=""width: 970px;"" /></p>  <ul class=""a-unordered-list a-vertical""> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">LIGHT &amp; STRONG</span></strong>: 26' wheelset rim material: Alloy 6061-T6. Rim wall: Double wall. Valve hole: 8mm A/V.Internal width: 18 mm. Much lighter than low end steel rim and strong enough for daily riding.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">COMPATIBILITY</span></strong>: Compatible with 7 Speed, caliper brake &amp; clincher 26' tires only. Brake interface: Caliper brake.CNC braking surface ( rim brakes ). Fit tire type: Clincher. ED Black steel spokes.Brass CP nipples.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">QUALITY HUBS</span></strong>: JOYTECH Hubs.Holes: 36.Bodies material: aluminum.Axle material: steel.Front axle size: 9x100mm QR.Rear axle size: 10x135mm QR.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">QUALITY FREEWHEEL</span></strong>: Compatible with SHIMANO MF-TZ500-7 Freewheel.Speed: 7 Speeds.Use: Tourney bike.Gearings: 14-16-18-20-22-24-34T.Chain Compatibility: 3/32'.</span></li> 	<li><span class=""a-list-item""><strong><span class=""a-text-bold"">PACKAGE</span></strong>: Front and rear wheel, hubs, QR, rim tape, freewheel.Weight: 2331 gram = 5.13 lbs. 2 year warranty. Made in Taiwan.</span></li> </ul>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""350"" src=""https://www.youtube.com/embed/H41KZhCTFmo"" width=""550""></iframe></p> "
WH-WB-M1-QQR,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC5462.jpg"" style=""width: 970px; height: 599px;"" /></p>  <p>Spec:<br /> Rims: WTB SX19<br /> Wheel Size: 29""<br /> Inner Width: 19 mm<br /> Spokes: 32 Stainless Steel<br /> Material: Alloy<br /> Front Hub: Novatec D481SBT weight 287g, 2 Sealed bearing, 9x100mm QR, Gauge 14, Disc 6 bolts<br /> Rear Hub: Novatec D482TSBT weight 476g, 2 Sealed bearing, 10x135mm QR, Gauge 14,&nbsp;Disc 6 bolts,&nbsp; 9 10 11 Speed compatible<br /> Tyre: Continental X-King MTB Wire Tyre 29' x 2.2<br /> Tyre TPI: 180<br /> Tyre PSI: 50-65<br /> Inner Tube: MAXXIS FV48 Tubes<br /> Weight: 4222g/set<br /> Package: Front and Back Wheels with Tyres, Tubes, Hubs, and 2 x Quick Release<br /> Warranty: 2 Year</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/dueowPtSGzU"" width=""560""></iframe></p> "
WH-WB-M4-QQR,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC8163.jpg"" style=""width: 972px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: 27.5"", Compatible with quick release, 6 bolts disc brake and 9, 10, 11 speed cassette.</li> 	<li><strong>QUALITY RIMS</strong>: WTB SX19 Disc Brake Rim 27.5"",Spokes: 32, Material: Stainless Steel. Inner Width: 19 mm. Spokes: Alloy. Break System: 6 bolt Disc Brake.</li> 	<li><strong>HUBS</strong>: Novatec Front Hub D481SBT weight 287g, Rear Hub D482TSBT weight 476g, 2 Sealed bearing, Quick Release, Gauge 14, O.L.D. Front-100mm Rear-135mm, Axle material S45C, 8 9 10 11 Speed compatible</li> 	<li><strong>TIRES</strong>: Continental X-King MTB Folding Tire 27.5"" x 2.2, Wheelset weight: 6300g/set = 13.88ibs including wheels and tires.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a 2 year warranty !</li> </ul>  <p>&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/mWLYyAmB3i0"" width=""560""></iframe></p> "
WH-WB-M9-QQR,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC8031.jpg"" style=""width: 972px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: 29"", Compatible with quick release, 6 bolts disc brake and 9, 10, 11 speed cassette.</li> 	<li><strong>QUALITY RIMS</strong>: Rims: WTB ST i23 Light, Tubeless Compatible System, NOT Includes Tubeless Tape and Valves. Wheel Size: 29"" ETRTO 23-622. Inner Width: 23 mm. Spokes: Alloy. Break System: 6 bolt Disc Brake.</li> 	<li><strong>HUBS</strong>: Front Hub: Sram VIA GT, Sealed bearing, 9x100mm QR, 32 Hole, Disc 6 bolts. Rear Hub: Sram VIA GT, Sealed bearing, 10x135mm QR, 32 Hole, Disc 6 bolts, 9 10 11 Speed compatible.</li> 	<li><strong>TIRES</strong>: MAXXIS CrossMark II MTB Tyre 29"" x 2.25. Tyre Max PSI: 65. Inner Tube: Maxxis FV48.</li> 	<li><strong>WEIGHT</strong>: 4200g/set=9.3lbs. Package: Front and Rear Wheels with tires, tubes, hubs, quick release.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/J3vJ_1sUPq4"" width=""560""></iframe></p> "
